Species;FSI_Category
Adelosina dubia;S
Adelosina elegans;S
Adelosina juvenile specimen;S
Adelosina laevigata;S
Adelosina longirostra;S
Adelosina mediterranensis;S
Adelosina partschii;S
Adelosina pulchella;S
Ammonia aberdoveyensis;T
Ammonia batava;T
Ammonia beccarii;T
Ammonia falsobeccarii;T
Amphicoryna scalaris;T
Asterigerinata adriatica;S
Asterigerinata mamilla;S
Aubignyna perlucida;T
Bigenerina nodosaria;T
Bolivina aenariensis;T
Bolivina alata;T
Bolivina spathulata;T
Bolivina striatula;T
Buccella granulata;S
Bulimina costata;T
Bulimina elongata;T
Bulimina marginata;T
Cassidulina carinata;T
Cassidulina laevigata;T
Cibicidella variabilis;S
Cibicides mayori;S
Cibicides pseudolobatulus;S
Cibicides pseudoungeranius;S
Cibicides refulgens;S
Discorbinella bertheloti;S
Elphidium advenum;S
Elphidium crispum;S
Elphidium incertum;S
Elphidium jenseni;S
Elphidium macellum;S
Elphidium punctatum;S
Fursenkoina acuta;T
Globocassidulina subglobosa;T
Hansenisca soldanii;T
Haynesina depressula;T
Haynesina germanica;T
Lobatula lobatula;S
Melonis affinis;T
Melonis pompilioides;T
Miliolinella rhodiensis;S
Miliolinella subrotunda;S
Miliolinella webbiana;S
Nonion commune;T
Nonionella turgida;T
Planorbulina mediterranensis;S
Planulina ariminensis;S
Porosononion granosum;T
Pyrgo anomala;S
Quinqueloculina berthelotiana;S
Quinqueloculina bidentata;S
Quinqueloculina bosciana;S
Quinqueloculina candeiana;S
Quinqueloculina disparilis;S
Quinqueloculina lata;S
Quinqueloculina milletti;S
Quinqueloculina parvula;S
Quinqueloculina pygmaea;S
Quinqueloculina seminula;S
Quinqueloculina stalkeri;S
Quinqueloculina stelligera;S
Rectuvigerina phlegeri;T
Reussella spinulosa;S
Rosalina bradyi;S
Rosalina globularis;S
Textularia agglutinans;T
Trifarina angulosa;T
Uvigerina mediterranea;T
Valvulineria bradyana;T