Species;TSI_Category
Ammonia tepida;T
Ammonia beccarii;T
Ammonia parkinsoniana;T
Ammonia sp.;T
Bulimina marginata;T
Bulimina aculeata;T
Bulimina elongata;T
Bulimina sp.;T
Bolivina striatula;T
Bolivina dilatata;T
Bolivina spathulata;T
Bolivina seminuda;T
Bolivina sp.;T
Brizalina striatula;T
Brizalina sp.;T
Buliminella elegantissima;T
Nonionella turgida;T
Nonionella stella;T
Stainforthia fusiformis;T
Hopkinsina pacifica;T
Rectuvigerina phlegeri;T
Valvulineria bradyana;T
Cassidulina carinata;T
Cassidulina laevigata;T
Globocassidulina subglobosa;T
Fursenkoina acuta;T
Fursenkoina complanata;T
Fursenkoina sp.;T
Globobulimina affinis;T
Globobulimina sp.;T
Chilostomella oolina;T
Chilostomella sp.;T
Uvigerina mediterranea;T
Uvigerina peregrina;T
Uvigerina sp.;T
Melonis barleeanus;T
Melonis sp.;T
Gyroidina sp.;T
Epistominella sp.;T
Cancris auriculus;T
Eggerelloides scaber;T
Trochammina inflata;T
Leptohalysis scottii;T
Textularia earlandi;T